Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
mini-processador,Mini Processador,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-181,300,shopify,71,deny,manual,118.10,,TRUE,FALSE,FALSE,Mini Processador — ALVA,Cozinha · envio após a confirmação do pagamento.,active
balanca-digital-5kg,Balança Digital 5kg,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-182,300,shopify,72,deny,manual,70.44,,TRUE,FALSE,FALSE,Balança Digital 5kg — ALVA,Cozinha · envio após a confirmação do pagamento.,active
descascador-3-em-1,Descascador 3 em 1,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-183,300,shopify,73,deny,manual,24.86,,TRUE,FALSE,FALSE,Descascador 3 em 1 — ALVA,Cozinha · envio após a confirmação do pagamento.,active
organizador-geladeira,Organizador Geladeira,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-184,300,shopify,74,deny,manual,81.84,,TRUE,FALSE,FALSE,Organizador Geladeira — ALVA,Cozinha · envio após a confirmação do pagamento.,active
pote-hermetico-kit-6,Pote Hermético Kit 6,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-185,300,shopify,75,deny,manual,99.46,,TRUE,FALSE,FALSE,Pote Hermético Kit 6 — ALVA,Cozinha · envio após a confirmação do pagamento.,active
ralador-mandoline,Ralador Mandoline,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-186,300,shopify,76,deny,manual,84.96,,TRUE,FALSE,FALSE,Ralador Mandoline — ALVA,Cozinha · envio após a confirmação do pagamento.,active
batedor-eletrico-mini,Batedor Elétrico Mini,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-187,300,shopify,77,deny,manual,73.56,,TRUE,FALSE,FALSE,Batedor Elétrico Mini — ALVA,Cozinha · envio após a confirmação do pagamento.,active
forma-silicone-airfryer,Forma Silicone Airfryer,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-188,300,shopify,78,deny,manual,60.08,,TRUE,FALSE,FALSE,Forma Silicone Airfryer — ALVA,Cozinha · envio após a confirmação do pagamento.,active
termometro-culinario,Termômetro Culinário,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-189,300,shopify,79,deny,manual,50.76,,TRUE,FALSE,FALSE,Termômetro Culinário — ALVA,Cozinha · envio após a confirmação do pagamento.,active
abridor-eletrico,Abridor Elétrico,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-190,300,shopify,80,deny,manual,106.70,,TRUE,FALSE,FALSE,Abridor Elétrico — ALVA,Cozinha · envio após a confirmação do pagamento.,active
escorredor-dobravel,Escorredor Dobrável,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-191,300,shopify,81,deny,manual,55.94,,TRUE,FALSE,FALSE,Escorredor Dobrável — ALVA,Cozinha · envio após a confirmação do pagamento.,active
dispenser-detergente,Dispenser Detergente,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-192,300,shopify,82,deny,manual,43.52,,TRUE,FALSE,FALSE,Dispenser Detergente — ALVA,Cozinha · envio após a confirmação do pagamento.,active
tabua-antibacteriana,Tábua Antibacteriana,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-193,300,shopify,83,deny,manual,68.38,,TRUE,FALSE,FALSE,Tábua Antibacteriana — ALVA,Cozinha · envio após a confirmação do pagamento.,active
moedor-pimenta,Moedor Pimenta,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-194,300,shopify,84,deny,manual,52.84,,TRUE,FALSE,FALSE,Moedor Pimenta — ALVA,Cozinha · envio após a confirmação do pagamento.,active
sifao-chantilly,Sifão Chantilly,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-195,300,shopify,85,deny,manual,142.96,,TRUE,FALSE,FALSE,Sifão Chantilly — ALVA,Cozinha · envio após a confirmação do pagamento.,active
cafeteira-italiana-6x,Cafeteira Italiana 6x,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-196,300,shopify,86,deny,manual,126.40,,TRUE,FALSE,FALSE,Cafeteira Italiana 6x — ALVA,Cozinha · envio após a confirmação do pagamento.,active
infusor-cha-aco,Infusor Chá Aço,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-197,300,shopify,87,deny,manual,34.18,,TRUE,FALSE,FALSE,Infusor Chá Aço — ALVA,Cozinha · envio após a confirmação do pagamento.,active
luva-termica-silicone,Luva Térmica Silicone,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-198,300,shopify,88,deny,manual,48.70,,TRUE,FALSE,FALSE,Luva Térmica Silicone — ALVA,Cozinha · envio após a confirmação do pagamento.,active
organizador-temperos,Organizador Temperos,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-199,300,shopify,89,deny,manual,88.06,,TRUE,FALSE,FALSE,Organizador Temperos — ALVA,Cozinha · envio após a confirmação do pagamento.,active
mini-grill-eletrico,Mini Grill Elétrico,<p>Cozinha · envio após a confirmação do pagamento.</p>,ALVA,,Cozinha,Cozinha,TRUE,Title,Default Title,cozinha-200,300,shopify,40,deny,manual,175.08,,TRUE,FALSE,FALSE,Mini Grill Elétrico — ALVA,Cozinha · envio após a confirmação do pagamento.,active
